seqid,source,type,start,stop,score,strand,phase,name,length,overlap_id,overlap_ortho_id,overlap_name,overlap_strand,left_hand_id,left_hand_ortho,left_hand_name,left_hand_dist,left_hand_strand,right_hand_id,right_hand_ortho,right_hand_name,right_hand_dist,right_hand_strand,pbm_motifs,dreme_motifs,p-value,q-value
PfDd2_01,annotation,macs2_peak,134553,134553,58,.,.,ap2i_r1_gfp_peak_1,1,.,.,.,,PfDd2_010007800,PF3D7_0104000,TRSP,828,+,PfDd2_010007900,.,.,-1051,+,,,7.72133,5.80729
PfDd2_01,annotation,macs2_peak,144285,144285,97,.,.,ap2i_r1_gfp_peak_2,1,.,.,.,,PfDd2_010008000,.,.,2486,-,PfDd2_010008100,.,.,-3317,+,,,11.82124,9.78736
PfDd2_01,annotation,macs2_peak,183100,183100,15,.,.,ap2i_r1_gfp_peak_3a,1,PfDd2_010008900,PF3D7_0105300,CAP,-,PfDd2_010008800,PF3D7_0105200,.,1805,-,PfDd2_010009000,PF3D7_0105400,.,-919,-,,,3.20113,1.53623
PfDd2_01,annotation,macs2_peak,183444,183444,194,.,.,ap2i_r1_gfp_peak_3b,1,.,.,.,,PfDd2_010008900,PF3D7_0105300,CAP,328,-,PfDd2_010009000,PF3D7_0105400,.,-575,-,,,21.71475,19.48664
PfDd2_01,annotation,macs2_peak,184192,184192,754,.,.,ap2i_r1_gfp_peak_3c,1,PfDd2_010009000,PF3D7_0105400,.,-,PfDd2_010008900,PF3D7_0105300,CAP,1076,-,PfDd2_010009100,PF3D7_0105500,.,-1460,-,,,78.30997,75.44263
PfDd2_01,annotation,macs2_peak,184920,184920,1004,.,.,ap2i_r1_gfp_peak_3d,1,.,.,.,,PfDd2_010009000,PF3D7_0105400,.,296,-,PfDd2_010009100,PF3D7_0105500,.,-732,-,,,103.63299,100.45724
PfDd2_01,annotation,macs2_peak,188848,188848,107,.,.,ap2i_r1_gfp_peak_4,1,PfDd2_010009200,PF3D7_0105600,.,-,PfDd2_010009100,PF3D7_0105500,.,2162,-,PfDd2_010009300,PF3D7_0105700,.,-6923,+,,,12.80634,10.74802
PfDd2_01,annotation,macs2_peak,209975,209975,198,.,.,ap2i_r1_gfp_peak_5,1,.,.,.,,PfDd2_010009400,PF3D7_0105800,.,872,-,PfDd2_010009500,PF3D7_0105900,.,-688,+,,,22.09356,19.86003
PfDd2_01,annotation,macs2_peak,215780,215780,26,.,.,ap2i_r1_gfp_peak_6a,1,.,.,.,,PfDd2_010009600,PF3D7_0106000,.,147,-,PfDd2_010009700,PF3D7_0106100,.,-1927,-,,,4.42395,2.65867
PfDd2_01,annotation,macs2_peak,216446,216446,400,.,.,ap2i_r1_gfp_peak_6b,1,.,.,.,,PfDd2_010009600,PF3D7_0106000,.,813,-,PfDd2_010009700,PF3D7_0106100,.,-1261,-,,,42.56899,40.06413
PfDd2_01,annotation,macs2_peak,319909,319909,387,.,.,ap2i_r1_gfp_peak_7,1,.,.,.,,PfDd2_010012300,PF3D7_0108800,.,2531,+,PfDd2_010012400,PF3D7_0109000,PHIL1,-439,+,,,41.21737,38.72718
PfDd2_01,annotation,macs2_peak,399032,399032,48,.,.,ap2i_r1_gfp_peak_8a,1,.,.,.,,PfDd2_010014900,PF3D7_0111500,.,773,-,PfDd2_010015000,PF3D7_0111600,.,-360,-,,,6.76996,4.89204
PfDd2_01,annotation,macs2_peak,399430,399430,18,.,.,ap2i_r1_gfp_peak_8b,1,PfDd2_010015000,PF3D7_0111600,.,-,PfDd2_010014900,PF3D7_0111500,.,1171,-,PfDd2_010015100,PF3D7_0111700,.,-1008,-,,,3.56776,1.86511
PfDd2_01,annotation,macs2_peak,480989,480989,105,.,.,ap2i_r1_gfp_peak_9,1,.,.,.,,PfDd2_010017100,PF3D7_0113700,HSP40,955,+,PfDd2_010017200,PF3D7_0113800,.,-3668,+,,,12.57405,10.51808
PfDd2_02,annotation,macs2_peak,84464,84464,98,.,.,ap2i_r1_gfp_peak_10,1,.,.,.,,PfDd2_020007000,PF3D7_0204100,.,1517,-,PfDd2_020007100,PF3D7_0204200,.,-2225,+,,,11.85070,9.81262
PfDd2_02,annotation,macs2_peak,141218,141218,102,.,.,ap2i_r1_gfp_peak_11,1,.,.,.,,PfDd2_020009000,.,.,518,+,PfDd2_020009100,PF3D7_0206200,PAT,-1935,+,,,12.33085,10.28062
PfDd2_02,annotation,macs2_peak,162884,162884,54,.,.,ap2i_r1_gfp_peak_12,1,.,.,.,,PfDd2_020009300,PF3D7_0206500,.,1513,-,PfDd2_020009400,PF3D7_0206600,.,-1175,-,,,7.33343,5.43447
PfDd2_02,annotation,macs2_peak,169074,169074,1321,.,.,ap2i_r1_gfp_peak_13a,1,.,.,.,,PfDd2_020009600,PF3D7_0206800,MSP2,504,-,PfDd2_020009700,PF3D7_0206900,MSP5,-537,-,,,135.77844,132.11804
PfDd2_02,annotation,macs2_peak,170288,170288,71,.,.,ap2i_r1_gfp_peak_13b,1,PfDd2_020009700,PF3D7_0206900,MSP5,-,PfDd2_020009600,PF3D7_0206800,MSP2,1718,-,PfDd2_020009800,PF3D7_0207000,MSP4,-1304,-,,,9.10092,7.14378
PfDd2_02,annotation,macs2_peak,173406,173406,548,.,.,ap2i_r1_gfp_peak_14,1,.,.,.,,PfDd2_020009800,PF3D7_0207000,MSP4,855,-,PfDd2_020009900,PF3D7_0207100,.,-2579,+,,,57.47766,54.80614
PfDd2_02,annotation,macs2_peak,182427,182427,47,.,.,ap2i_r1_gfp_peak_15,1,PfDd2_020010000,PF3D7_0207200,IscA1,-,PfDd2_020009900,PF3D7_0207100,.,1054,+,PfDd2_020010100,PF3D7_0207300,SERA8,-1769,-,,,6.64155,4.77007
PfDd2_02,annotation,macs2_peak,192080,192080,59,.,.,ap2i_r1_gfp_peak_16,1,.,.,.,,PfDd2_020010200,PF3D7_0207400,.,408,-,PfDd2_020010300,PF3D7_0207500,SERA6,-853,-,,,7.91870,5.99766
PfDd2_02,annotation,macs2_peak,196957,196957,379,.,.,ap2i_r1_gfp_peak_17,1,.,.,.,,PfDd2_020010300,PF3D7_0207500,SERA6,351,-,PfDd2_020010400,PF3D7_0207600,.,-685,-,,,40.42442,37.94365
