seqid,source,type,start,stop,score,strand,phase,name,length,overlap_id,overlap_ortho_id,overlap_name,overlap_strand,left_hand_id,left_hand_ortho,left_hand_name,left_hand_dist,left_hand_strand,right_hand_id,right_hand_ortho,right_hand_name,right_hand_dist,right_hand_strand,num_replicates,replicates
PfDd2_12,annotation,intersect_peaks,2046398,2046657,.,.,.,ipeak_3427,260,PfDd2_120055200,PF3D7_1250000,.,+,PfDd2_120055100,PF3D7_1249900,.,1148,-,PfDd2_120055300,PF3D7_1250100,G377,-456,-,1,R2
PfDd2_09,annotation,intersect_peaks,518301,518689,.,.,.,ipeak_1969,389,PfDd2_090016600,PF3D7_0911400,.,-,PfDd2_090016500,PF3D7_0911300,CRMP1,2105,+,PfDd2_090016700,PF3D7_0911500,.,-2940,-,1,R2
PfDd2_09,annotation,intersect_peaks,510627,511169,.,.,.,ipeak_1968,543,PfDd2_090016500,PF3D7_0911300,CRMP1,+,PfDd2_090016400,PF3D7_0911200,.,5443,+,PfDd2_090016600,PF3D7_0911400,.,-5731,-,1,R2
PfDd2_09,annotation,intersect_peaks,486705,487092,.,.,.,ipeak_1965,388,PfDd2_090015900,PF3D7_0910700,ALP5a,+,PfDd2_090015800,PF3D7_0910600,YKT6.1,1188,+,PfDd2_090016000,PF3D7_0910800,NBP35,-1729,+,1,R2
PfDd2_09,annotation,intersect_peaks,473419,474216,.,.,.,ipeak_1964,798,PfDd2_090015600,PF3D7_0910400,.,-,PfDd2_090015500,PF3D7_0910300,.,1815,+,PfDd2_090015700,PF3D7_0910500,.,-2904,-,1,R2
PfDd2_09,annotation,intersect_peaks,490916,491385,.,.,.,ipeak_1967,470,PfDd2_090016100,PF3D7_0910900,.,-,PfDd2_090016000,PF3D7_0910800,NBP35,752,+,PfDd2_090016200,PF3D7_0911000,.,-3433,+,1,R2
PfDd2_09,annotation,intersect_peaks,489711,490059,.,.,.,ipeak_1966,349,PfDd2_090016000,PF3D7_0910800,NBP35,+,PfDd2_090015900,PF3D7_0910700,ALP5a,2142,+,PfDd2_090016100,PF3D7_0910900,.,-539,-,1,R2
PfDd2_09,annotation,intersect_peaks,446988,447306,.,.,.,ipeak_1961,319,PfDd2_090015200,PF3D7_0910000,SET4,-,PfDd2_090015100,PF3D7_0909900,.,434,+,PfDd2_090015300,PF3D7_0910100,.,-4141,-,1,R2
PfDd2_09,annotation,intersect_peaks,444738,444785,.,.,.,ipeak_1960,48,PfDd2_090015100,PF3D7_0909900,.,+,PfDd2_090015000,PF3D7_0909800,SNRPD3,3922,+,PfDd2_090015200,PF3D7_0910000,SET4,-2115,-,1,R5
PfDd2_09,annotation,intersect_peaks,472895,473201,.,.,.,ipeak_1963,307,PfDd2_090015600,PF3D7_0910400,.,-,PfDd2_090015500,PF3D7_0910300,.,1291,+,PfDd2_090015700,PF3D7_0910500,.,-3919,-,1,R2
