chrom	start	end	num	list	R1	R2	R3	R4	R5
PfDd2_01	26180	26737	1	R2	0	1	0	0	0
PfDd2_01	34477	34807	1	R2	0	1	0	0	0
PfDd2_01	35543	36799	1	R2	0	1	0	0	0
PfDd2_01	52361	52774	1	R2	0	1	0	0	0
PfDd2_01	58248	58830	1	R2	0	1	0	0	0
PfDd2_01	92204	92485	1	R2	0	1	0	0	0
PfDd2_01	92576	92851	1	R5	0	0	0	0	1
PfDd2_01	93154	93543	1	R2	0	1	0	0	0
PfDd2_01	101484	101752	1	R2	0	1	0	0	0
PfDd2_01	102009	102450	1	R2	0	1	0	0	0
PfDd2_01	107208	107555	1	R2	0	1	0	0	0
PfDd2_01	108440	109004	1	R2	0	1	0	0	0
PfDd2_01	111617	111966	1	R5	0	0	0	0	1
PfDd2_01	113920	114322	1	R2	0	1	0	0	0
PfDd2_01	127711	127987	1	R2	0	1	0	0	0
PfDd2_01	134248	134684	1	R1	1	0	0	0	0
PfDd2_01	144082	144563	1	R1	1	0	0	0	0
PfDd2_01	150812	151200	1	R2	0	1	0	0	0
PfDd2_01	151976	152269	1	R2	0	1	0	0	0
PfDd2_01	155249	155323	1	R2	0	1	0	0	0
PfDd2_01	155323	155654	2	R2,R5	0	1	0	0	1
PfDd2_01	155654	155682	1	R2	0	1	0	0	0
PfDd2_01	156453	157526	1	R2	0	1	0	0	0
PfDd2_01	160099	160752	1	R2	0	1	0	0	0
PfDd2_01	161011	161269	1	R2	0	1	0	0	0
PfDd2_01	164914	165225	1	R2	0	1	0	0	0
PfDd2_01	166836	167088	1	R2	0	1	0	0	0
PfDd2_01	167207	167518	1	R2	0	1	0	0	0
PfDd2_01	168429	169230	1	R2	0	1	0	0	0
PfDd2_01	170023	170346	1	R2	0	1	0	0	0
PfDd2_01	173360	173667	1	R2	0	1	0	0	0
PfDd2_01	174290	174739	1	R2	0	1	0	0	0
PfDd2_01	182978	183999	1	R1	1	0	0	0	0
PfDd2_01	183999	184011	2	R1,R3	1	0	1	0	0
PfDd2_01	184011	184016	3	R1,R2,R3	1	1	1	0	0
PfDd2_01	184016	184420	4	R1,R2,R3,R4	1	1	1	1	0
PfDd2_01	184420	184500	3	R1,R2,R3	1	1	1	0	0
PfDd2_01	184500	184520	2	R1,R2	1	1	0	0	0
PfDd2_01	184520	184677	1	R1	1	0	0	0	0
PfDd2_01	184677	184679	2	R1,R3	1	0	1	0	0
PfDd2_01	184679	184747	3	R1,R2,R3	1	1	1	0	0
PfDd2_01	184747	185078	4	R1,R2,R3,R4	1	1	1	1	0
PfDd2_01	185078	185081	3	R1,R3,R4	1	0	1	1	0
PfDd2_01	185081	185088	2	R1,R4	1	0	0	1	0
PfDd2_01	185088	185405	1	R1	1	0	0	0	0
PfDd2_01	187549	187808	1	R2	0	1	0	0	0
PfDd2_01	188450	189065	1	R1	1	0	0	0	0
PfDd2_01	190265	190556	1	R2	0	1	0	0	0
PfDd2_01	190889	191175	1	R2	0	1	0	0	0
PfDd2_01	198342	198608	1	R2	0	1	0	0	0
PfDd2_01	201439	201774	1	R2	0	1	0	0	0
PfDd2_01	209673	210196	1	R1	1	0	0	0	0
PfDd2_01	215647	216879	1	R1	1	0	0	0	0
PfDd2_01	223419	223694	1	R2	0	1	0	0	0
PfDd2_01	225029	225691	1	R2	0	1	0	0	0
PfDd2_01	233963	234394	1	R2	0	1	0	0	0
PfDd2_01	239156	239425	1	R2	0	1	0	0	0
PfDd2_01	240422	241237	1	R2	0	1	0	0	0
PfDd2_01	256778	257229	1	R2	0	1	0	0	0
PfDd2_01	257426	257794	1	R2	0	1	0	0	0
PfDd2_01	263608	263979	1	R2	0	1	0	0	0
PfDd2_01	264873	265444	1	R2	0	1	0	0	0
PfDd2_01	273329	273627	1	R2	0	1	0	0	0
PfDd2_01	287850	288373	1	R2	0	1	0	0	0
PfDd2_01	298211	298722	1	R2	0	1	0	0	0
PfDd2_01	306412	306760	1	R2	0	1	0	0	0
PfDd2_01	310643	311233	1	R2	0	1	0	0	0
PfDd2_01	312160	312477	1	R2	0	1	0	0	0
PfDd2_01	319674	320100	1	R1	1	0	0	0	0
PfDd2_01	320470	320813	1	R2	0	1	0	0	0
PfDd2_01	322774	323092	1	R2	0	1	0	0	0
PfDd2_01	323935	324283	1	R2	0	1	0	0	0
PfDd2_01	345588	345853	1	R2	0	1	0	0	0
PfDd2_01	353803	354203	1	R2	0	1	0	0	0
PfDd2_01	359053	359341	1	R2	0	1	0	0	0
PfDd2_01	364932	365182	1	R2	0	1	0	0	0
PfDd2_01	365305	365585	1	R2	0	1	0	0	0
PfDd2_01	370756	371180	1	R2	0	1	0	0	0
PfDd2_01	382002	382297	1	R2	0	1	0	0	0
PfDd2_01	383252	383810	1	R2	0	1	0	0	0
PfDd2_01	388476	388908	1	R2	0	1	0	0	0
PfDd2_01	398903	399493	1	R1	1	0	0	0	0
PfDd2_01	433164	433535	1	R2	0	1	0	0	0
PfDd2_01	455133	455625	1	R2	0	1	0	0	0
PfDd2_01	462238	462535	1	R2	0	1	0	0	0
PfDd2_01	470603	471022	1	R2	0	1	0	0	0
PfDd2_01	471153	472005	1	R2	0	1	0	0	0
PfDd2_01	473270	473706	1	R2	0	1	0	0	0
PfDd2_01	475032	475315	1	R2	0	1	0	0	0
PfDd2_01	478804	479094	1	R2	0	1	0	0	0
PfDd2_01	480825	481393	1	R1	1	0	0	0	0
PfDd2_01	487302	487697	1	R2	0	1	0	0	0
PfDd2_01	489633	490589	1	R2	0	1	0	0	0
PfDd2_01	494772	495175	1	R2	0	1	0	0	0
PfDd2_01	508309	508616	1	R2	0	1	0	0	0
PfDd2_01	511166	511467	1	R2	0	1	0	0	0
PfDd2_01	521662	522210	1	R2	0	1	0	0	0
PfDd2_01	525282	525565	1	R5	0	0	0	0	1
PfDd2_01	536115	536400	1	R2	0	1	0	0	0
PfDd2_01	562350	563092	1	R2	0	1	0	0	0
PfDd2_01	569469	570231	1	R2	0	1	0	0	0
PfDd2_01	571374	571804	1	R2	0	1	0	0	0
PfDd2_01	574206	574522	1	R2	0	1	0	0	0
PfDd2_02	4577	5010	1	R2	0	1	0	0	0
